iter	Passed	Remaining
0	54	54292
1	62	31056
2	69	23155
3	76	18952
4	82	16460
5	89	14811
6	95	13509
7	101	12625
8	107	11861
9	113	11267
10	120	10797
11	126	10400
12	132	10081
13	139	9808
14	145	9541
15	152	9404
16	158	9166
17	164	8999
18	172	8882
19	178	8726
20	185	8640
21	191	8530
22	199	8462
23	205	8366
24	211	8262
25	218	8191
26	224	8085
27	231	8025
28	237	7956
29	244	7898
30	250	7834
31	256	7759
32	262	7690
33	268	7639
34	274	7581
35	281	7525
36	287	7475
37	294	7446
38	301	7432
39	307	7388
40	313	7344
41	320	7306
42	327	7297
43	333	7251
44	339	7208
45	347	7211
46	353	7163
47	359	7125
48	365	7091
49	371	7050
50	376	7013
51	384	7013
52	390	6976
53	396	6951
54	403	6932
55	408	6894
56	417	6904
57	422	6868
58	430	6860
59	437	6857
60	446	6870
61	456	6899
62	464	6911
63	471	6901
64	478	6880
65	484	6859
66	490	6831
67	496	6807
68	503	6787
69	509	6762
70	515	6742
71	521	6720
72	528	6712
73	534	6693
74	541	6673
75	547	6656
76	553	6631
77	559	6609
78	565	6597
79	572	6579
80	579	6571
81	584	6547
82	590	6526
83	597	6521
84	604	6508
85	610	6486
86	616	6468
87	622	6447
88	630	6453
89	636	6433
90	642	6415
91	648	6405
92	655	6392
93	664	6406
94	670	6391
95	677	6377
96	683	6364
97	690	6351
98	697	6348
99	703	6332
100	709	6317
101	715	6302
102	722	6288
103	730	6291
104	738	6294
105	745	6287
106	751	6274
107	758	6264
108	765	6253
109	771	6238
110	778	6235
111	784	6223
112	792	6218
113	799	6214
114	805	6200
115	816	6222
116	822	6207
117	832	6221
118	838	6207
119	846	6204
120	852	6191
121	860	6190
122	866	6175
123	872	6161
124	879	6158
125	885	6142
126	893	6139
127	899	6126
128	905	6113
129	913	6114
130	919	6101
131	926	6094
132	934	6090
133	944	6105
134	951	6097
135	961	6109
136	967	6096
137	975	6095
138	982	6084
139	990	6083
140	997	6076
141	1003	6064
142	1011	6064
143	1018	6053
144	1025	6049
145	1032	6037
146	1039	6033
147	1046	6023
148	1052	6012
149	1059	6006
150	1066	5995
151	1072	5983
152	1078	5971
153	1085	5961
154	1092	5955
155	1098	5944
156	1105	5933
157	1111	5925
158	1118	5917
159	1126	5914
160	1134	5913
161	1142	5908
162	1151	5914
163	1158	5905
164	1163	5890
165	1169	5877
166	1178	5878
167	1184	5867
168	1195	5877
169	1203	5877
170	1213	5882
171	1222	5886
172	1229	5875
173	1236	5867
174	1242	5857
175	1249	5848
176	1255	5837
177	1261	5825
178	1267	5814
179	1274	5806
180	1280	5796
181	1288	5793
182	1295	5783
183	1303	5778
184	1309	5770
185	1315	5758
186	1323	5753
187	1328	5739
188	1335	5730
189	1341	5719
190	1347	5707
191	1354	5698
192	1360	5686
193	1365	5674
194	1375	5679
195	1385	5684
196	1392	5675
197	1398	5663
198	1406	5659
199	1413	5654
200	1425	5667
201	1433	5662
202	1440	5655
203	1447	5648
204	1454	5641
205	1461	5631
206	1467	5622
207	1475	5617
208	1481	5606
209	1488	5598
210	1494	5589
211	1501	5582
212	1508	5573
213	1515	5567
214	1522	5559
215	1529	5550
216	1537	5546
217	1547	5549
218	1557	5553
219	1564	5548
220	1571	5540
221	1578	5530
222	1585	5524
223	1591	5515
224	1599	5507
225	1605	5499
226	1611	5488
227	1619	5483
228	1625	5474
229	1633	5467
230	1639	5458
231	1646	5450
232	1653	5442
233	1659	5433
234	1667	5426
235	1673	5417
236	1679	5408
237	1687	5401
238	1696	5400
239	1702	5391
240	1708	5381
241	1715	5372
242	1722	5366
243	1733	5369
244	1743	5371
245	1753	5374
246	1763	5375
247	1772	5373
248	1778	5364
249	1785	5357
250	1792	5349
251	1799	5340
252	1805	5329
253	1812	5322
254	1818	5313
255	1825	5305
256	1832	5299
257	1839	5290
258	1846	5281
259	1852	5272
260	1861	5270
261	1867	5259
262	1875	5254
263	1882	5247
264	1889	5240
265	1896	5232
266	1905	5230
267	1912	5224
268	1919	5217
269	1926	5209
270	1933	5201
271	1940	5192
272	1947	5186
273	1953	5176
274	1959	5167
275	1967	5159
276	1973	5151
277	1980	5143
278	1986	5134
279	1994	5128
280	2000	5119
281	2008	5112
282	2014	5104
283	2021	5096
284	2028	5090
285	2036	5084
286	2047	5085
287	2058	5088
288	2068	5088
289	2077	5087
290	2087	5085
291	2097	5085
292	2103	5076
293	2110	5067
294	2116	5058
295	2122	5048
296	2128	5039
297	2134	5029
298	2141	5019
299	2147	5010
300	2153	4999
301	2159	4991
302	2168	4988
303	2177	4985
304	2183	4976
305	2191	4969
306	2196	4959
307	2202	4949
308	2210	4943
309	2217	4935
310	2226	4933
311	2233	4924
312	2240	4918
313	2247	4909
314	2254	4901
315	2260	4893
316	2266	4883
317	2274	4878
318	2282	4872
319	2289	4864
320	2294	4853
321	2300	4844
322	2307	4836
323	2313	4827
324	2319	4817
325	2326	4810
326	2332	4800
327	2339	4792
328	2346	4784
329	2352	4775
330	2361	4772
331	2367	4762
332	2374	4755
333	2380	4746
334	2386	4737
